params: N_COLD=2000 HOT_MS=1500 UNSTABLE_N=20000 REPS=5
done: node20 default  (+10s)
done: node20 always-turbofan  (+33s)
done: node20 always-sparkplug  (+43s)
done: node20 no-sparkplug  (+53s)
done: node20 no-opt  (+63s)
done: node20 jitless  (+72s)
done: node20 lite-mode  (+82s)
done: node20 eager  (+92s)
done: node22 default  (+102s)
done: node22 always-turbofan  (+111s)
done: node22 always-sparkplug  (+121s)
done: node22 no-sparkplug  (+130s)
done: node22 no-opt  (+140s)
done: node22 maglev  (+149s)
done: node22 jitless  (+159s)
done: node22 lite-mode  (+169s)
done: node22 eager  (+178s)
done: node24 default  (+188s)
done: node24 always-turbofan  (+197s)
done: node24 always-sparkplug  (+207s)
done: node24 no-sparkplug  (+216s)
done: node24 no-opt  (+226s)
done: node24 no-maglev  (+236s)
done: node24 jitless  (+245s)
done: node24 lite-mode  (+255s)
done: node24 eager  (+264s)
done: node24 turbolev  (+274s)
cells: 27 | cells with errors: 0
TIERS_MATRIX_DONE in 274s
